data,fold,depth,weight_seed,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse_sum,mse,mse gap sum,mse gap,training_duration,use_brute_force,use_hashmaps,use_initial_solution
synthetic_illustrative_df_size_500_targets_5_seed_0,1,5,2,5,10,optimal,optimal,mse,0.3662913080054418,0.5197387133427609,-0.05309316313127336,0.005577875700084183,12.991894245147705,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,2,5,2,5,10,sklearn,sklearn,sklearn,0.5767353770338157,0.643227875018966,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,2,5,2,5,10,mean,optimal,mse,0.5427840752283499,0.6458722909700224,-0.0588680756503604,0.004111165037706712,0.4080207347869873,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,2,5,2,5,10,optimal,optimal,mse,0.4953478129720689,0.6377644701864407,-0.141117689849941,-0.008493731451492669,13.068477630615234,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,3,5,2,5,10,sklearn,sklearn,sklearn,0.5171942083261386,0.630604656502489,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,3,5,2,5,10,mean,optimal,mse,0.5201031499666935,0.6253770605772384,0.005624466774230638,-0.008289814975747708,0.3826904296875,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,3,5,2,5,10,optimal,optimal,mse,0.4399259381284969,0.588002537511073,-0.1493989471531687,-0.06755757121696393,13.432214975357056,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,4,5,2,5,10,sklearn,sklearn,sklearn,0.4598022245074801,0.49093461731573473,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,4,5,2,5,10,mean,optimal,mse,0.44978822061069396,0.45573192465601187,-0.02177893747145895,-0.07170546019386317,0.4232029914855957,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,4,5,2,5,10,optimal,optimal,mse,0.3780884971924261,0.42263866126951477,-0.17771494559988732,-0.13911415825520568,12.96817922592163,True,True,False
